pick_num,salary_cap_hit
1,7874404
2,7519254
3,7293253
4,7034964
5,6582955
6,5775803
7,5130077
8,4484353
9,4452067
10,4274492
11,4000061
12,3612625
13,3515766
14,3354337
15,3289765
16,3096046
17,3031473
18,2950760
19,2902328
20,2886186
21,2870042
22,2837756
23,2805471
24,2740897
25,2708614
26,2676326
27,2644040
28,2627896
29,2498355
30,2429754
31,2372292
32,2335292
33,1869171
34,1853026
35,1836884
36,1804599
37,1791684
38,1762627
39,1733567
40,1707741
41,1681911
42,1652853
43,1627025
44,1602413
45,1567940
46,1530812
47,1481737
48,1449451
49,1417163
50,1384880
51,1352592
52,1320306
53,1288020
54,1255733
55,1223447
56,1207305
57,1197617
58,1181476
59,1158873
60,1149188
61,1136274
62,1126587
63,1123360
64,1116903
65,1052298
66,1049469
67,1049186
68,1046140
69,1042812
70,1036470
71,1032149
72,1029098
73,1024990
74,1022953
75,1019806
76,1010902
77,1009897
78,1008101
79,1004435
80,1000731
81,997027
82,994404
83,989067
84,985267
85,983139
86,979532
87,976156
88,974312
89,973701
90,973396
91,973089
92,971560
93,968497
94,965436
95,962373
96,959313
97,954876
98,954876
99,954876
100,954876
101,954876
102,954876
103,954876
104,954876
105,954876
106,950437
107,944990
108,944214
109,942744
110,940549
111,939278
112,938420
113,937215
114,935882
115,934255
116,930403
117,929881
118,928992
119,928771
120,927660
121,924844
122,923945
123,921893
124,919740
125,918371
126,916993
127,914969
128,912453
129,912453
130,910379
131,908724
132,906282
133,905224
134,902792
135,901086
136,898326
137,895440
138,853432
139,853432
140,853432
141,853432
142,853432
143,853432
144,811422
145,810483
146,809687
147,809220
148,807170
149,804735
150,804007
151,803268
152,803020
153,802776
154,801022
155,800206
156,799811
157,799689
158,799465
159,799396
160,798852
161,798272
162,797468
163,797216
164,796356
165,795957
166,795083
167,794702
168,793160
169,792952
170,792159
171,789679
172,788386
173,786380
174,785392
175,784157
176,776387
177,776387
178,776387
179,776387
180,768613
181,766784
182,765786
183,764554
184,763236
185,762178
186,761405
187,761024
188,760309
189,759568
190,759351
191,758170
192,757443
193,757246
194,757002
195,756780
196,756391
197,756289
198,756251
199,755937
200,755467
201,755207
202,754530
203,753836
204,753113
205,752900
206,752702
207,751444
208,750685
209,749935
210,748570
211,743853
212,743853
213,743853
214,743853
215,743853
216,743853
217,743853
218,743853
219,743853
220,743853
221,743853
222,739134
223,739023
224,738333
225,738067
226,737170
227,736472
228,735975
229,735837
230,735739
231,735529
232,734925
233,734755
234,734751
235,734343
236,734332
237,734219
238,733566
239,733072
240,732629
241,731473
242,730378
243,730126
244,729863
245,729604
246,729409
247,729196
248,728998
249,728803
250,728502
251,728282
252,727967
253,727665
254,727665
255,727665
256,727665
257,727665
258,727665
259,727665
260,727665
261,727665
262,727665
